id,name,category
estate_property_type_appartament,Appartament,residential
estate_property_type_villa,Villa,residential
estate_property_type_office,Office,commercial
estate_property_type_house,House,residential
estate_property_type_shop,Shop,commercial
estate_property_type_industrial,Industrial,commercial
estate_property_type_farm,Farm,land
estate_property_type_flat,Flat,residential
estate_property_type_bandb,B&B,hospitality
estate_property_type_cottage,Cottage,residential
estate_property_type_conference_center,Conference Center,hospitality
estate_property_type_rench,Rench,land
estate_property_type_greenfield,Greenfield,land
estate_property_type_acreage,Acreage,land
estate_property_type_studio_flat,Studio Flat,residential
estate_property_type_urban_office,Urban Office,commercial
estate_property_type_warehouse,Warehouse,commercial
estate_property_type_pub,Pub,commercial
estate_property_type_trailerhome,Trailer Home,residential
